00A78ED4 0010 CPathControllerDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                             
00A7923C 0019 CPathNodeDescriptor: CPositionableObjectDescriptor, CBaseObjectDescriptor, CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                   
00A7961C 0020 CDescriptor: CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                              
00A798AC 0001 CEditor: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                                     
00A798B4 0007 CEditorBaseObject: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                           
00A798DC 0073 CEditorScene: CPositionableObject, CSceneNodeObject, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                      
00A79B84 0001 CDescriptorLoadConfiguration: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                
00A79BB4 0001 CDescriptorManager: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                          
00A79BBC 0003 CDescriptorProp: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                             
00A79BDC 0001 CDescriptorPropertyInterpreter: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                              
00A79BE4 0001 CDescriptorSaveConfiguration: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                
00A79C08 0001 CRoomPieceData: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                              
00A79DA4 0001 CTimerStatics: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                               
00A7A3C4 0073 CAllDescriptorsScene: CLayoutScene, CEditorScene, CPositionableObject, CSceneNodeObject, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                  
00A7A4EC 0073 CLayoutScene: CEditorScene, CPositionableObject, CSceneNodeObject, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                        
